"CODES","DESCRIPTION","YEAR","UNIT_1_CODES","UNIT_1_DESCRIPTION","UNIT_2_CODES","UNIT_2_DESCRIPTION",
03027300,"Fresh or chilled carp",2021,09,"Kilogram",?,"?",
03027400,"Fresh or chilled eels",2021,09,"Kilogram",?,"?",
03027900,"Fresh or chilled Nile perch and snakeheads",2021,09,"Kilogram",?,"?",
03028100,"Fresh or chilled dogfish and other sharks",2021,09,"Kilogram",?,"?",
03028200,"Fresh or chilled rays and skates",2021,09,"Kilogram",?,"?",
03028300,"Fresh or chilled toothfish",2021,09,"Kilogram",?,"?",
03028400,"Fresh or chilled seabass",2021,09,"Kilogram",?,"?",
03028500,"Fresh or chilled seabream",2021,09,"Kilogram",?,"?",
03028910,"Fresh or chilled scabber fish",2021,09,"Kilogram",?,"?",
03028920,"Fresh or chilled yellow croaker",2021,09,"Kilogram",?,"?",
03028930,"Fresh or chilled butterfish(other than silver pomfrets)",2021,09,"Kilogram",?,"?",
03028940,"Fresh or chilled puffer fish",2021,09,"Kilogram",?,"?",
03028990,"Fresh or chilled fish, nes",2021,09,"Kilogram",?,"?",
03029100,"Fresh or chilled livers, roes and milt",2021,09,"Kilogram",?,"?",
03029200,"Fresh or chilled shark fins",2021,09,"Kilogram",?,"?",
03029900,"Other fresh or chilled edible fish offal",2021,09,"Kilogram",?,"?",
03031100,"Frozen sockeye salmon",2021,09,"Kilogram",?,"?",
03031200,"Other frozen Pacific salmon",2021,09,"Kilogram",?,"?",
03031310,"Atlantic salmon (Salmo salar)  ,frozen",2021,09,"Kilogram",?,"?",
03031320,"Danube salmon (Hucho hucho) ,frozen",2021,09,"Kilogram",?,"?",
03031400,"Frozen trout",2021,09,"Kilogram",?,"?",
03031900,"Other frozen salmonidae",2021,09,"Kilogram",?,"?",
03032300,"Frozen tilapias",2021,09,"Kilogram",?,"?",
03032400,"Frozen catfish",2021,09,"Kilogram",?,"?",
03032500,"Frozen carp",2021,09,"Kilogram",?,"?",
03032600,"Frozen eels",2021,09,"Kilogram",?,"?",
03032900,"Frozen Nile perch and snakeheads",2021,09,"Kilogram",?,"?",
03033110,"Frozen reinhardtius hippoglossoides(Greenland halibut)",2021,09,"Kilogram",?,"?",
03033190,"Other frozen halibut",2021,09,"Kilogram",?,"?",
03033200,"Frozen plaice",2021,09,"Kilogram",?,"?",
03033300,"Frozen sole",2021,09,"Kilogram",?,"?",
03033400,"Frozen turbots",2021,09,"Kilogram",?,"?",
03033900,"Other frozen flat fish",2021,09,"Kilogram",?,"?",
03034100,"Frozen albacore or longfinned tunas",2021,09,"Kilogram",?,"?",
03034200,"Frozen yellowfin tunas",2021,09,"Kilogram",?,"?",
03034300,"Frozen skipjack or stripe-bellied bonito",2021,09,"Kilogram",?,"?",
03034400,"Frozen bigeye tunas",2021,09,"Kilogram",?,"?",
03034510,"Frozen Atlantic bluefin tunas",2021,09,"Kilogram",?,"?",
03034520,"Frozen Pacific bluefin tunas",2021,09,"Kilogram",?,"?",
03034600,"Frozen southern bluefin tunas",2021,09,"Kilogram",?,"?",
03034900,"Frozen tunas, nes",2021,09,"Kilogram",?,"?",
03035100,"Frozen herrings",2021,09,"Kilogram",?,"?",
03035300,"Frozen sadines, sardinella, brisling or sprats",2021,09,"Kilogram",?,"?",
03035400,"Frozen mackerel",2021,09,"Kilogram",?,"?",
03035500,"Frozen jack and horse mackerel",2021,09,"Kilogram",?,"?",
03035600,"Frozen cobia",2021,09,"Kilogram",?,"?",
03035700,"Frozen swordfish",2021,09,"Kilogram",?,"?",
03035910,"Frozen silver pomfrets (Pampus spp.)",2021,09,"Kilogram",?,"?",
03035990,"Frozen anchovies, Indian mackerels, seerfishes, jacks, crevalles,Pacific saury, scads, capelin,  Kawakawa, bonitos, marlins, sailfishes, spearfish",2021,09,"Kilogram",?,"?",
03036300,"Frozen cod",2021,09,"Kilogram",?,"?",
03036400,"Frozen haddock",2021,09,"Kilogram",?,"?",
03036500,"Frozen coalfish",2021,09,"Kilogram",?,"?",
03036600,"Frozen hake",2021,09,"Kilogram",?,"?",
03036700,"Frozen Alaska Pollack",2021,09,"Kilogram",?,"?",
03036800,"Frozen blue whitings",2021,09,"Kilogram",?,"?",
03036900,"Other Frozen Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae etc.",2021,09,"Kilogram",?,"?",
03038100,"Frozen dogfish and other sharks",2021,09,"Kilogram",?,"?",
03038200,"Frozen rays and skates",2021,09,"Kilogram",?,"?",
03038300,"Frozen toothfish",2021,09,"Kilogram",?,"?",
03038400,"Frozen seabass",2021,09,"Kilogram",?,"?",
03038910,"Frozen scabber fish",2021,09,"Kilogram",?,"?",
03038920,"Frozen yellow croaker",2021,09,"Kilogram",?,"?",
03038930,"Frozen butterfish(other than silver pomfrets)",2021,09,"Kilogram",?,"?",
03038990,"Frozen fish, nes",2021,09,"Kilogram",?,"?",
03039100,"Frozen fish liver, roes and milt",2021,09,"Kilogram",?,"?",
03039200,"Frozen shark fins",2021,09,"Kilogram",?,"?",
03039900,"Other frozen edible fish offal",2021,09,"Kilogram",?,"?",
03043100,"Fresh or chilled fillets of tilapias",2021,09,"Kilogram",?,"?",
03043200,"Fresh or chilled fillets of catfish",2021,09,"Kilogram",?,"?",
03043300,"Fresh or chilled fillets of Nile perch",2021,09,"Kilogram",?,"?",
03043900,"Fresh or chilled fillets of carp, eels and snakeheads",2021,09,"Kilogram",?,"?",
03044100,"Fresh or chilled fillets of Pacific/Altantic/Danude salmon",2021,09,"Kilogram",?,"?",
03044200,"Fresh or chilled fillets of trout",2021,09,"Kilogram",?,"?",
03044300,"Fresh or chilled fillets of flat fish",2021,09,"Kilogram",?,"?",
03044400,"Fresh or chilled fillets of fish of the families Bregmacerotidae and Euclichthyidae etc.",2021,09,"Kilogram",?,"?",
03044500,"Fresh or chilled fillets of swordfish",2021,09,"Kilogram",?,"?",
03044600,"Fresh or chilled fillets of toothfish",2021,09,"Kilogram",?,"?",
03044700,"Fresh or chilled fillets of dogfish and other sharks",2021,09,"Kilogram",?,"?",
03044800,"Fresh or chilled fillets of rays and skates",2021,09,"Kilogram",?,"?",
03044900,"Other fresh or chilled fish fillets",2021,09,"Kilogram",?,"?",
03045100,"Fresh or chilled meat of tilapias , catfish, carp, eels, Nile perch and snakeheads",2021,09,"Kilogram",?,"?",
03045200,"Fresh or chilled meat of salmonidae",2021,09,"Kilogram",?,"?",
03045300,"Fresh or chilled meat of fish of the families Bregmacerotidae and Euclichthyidae etc.",2021,09,"Kilogram",?,"?",
03045400,"Fresh or chilled meat of swordfish",2021,09,"Kilogram",?,"?",
03045500,"Fresh or chilled meat of toothfish",2021,09,"Kilogram",?,"?",
03045600,"Fresh or chilled meat of dogfish and other sharks",2021,09,"Kilogram",?,"?",
03045700,"Fresh or chilled meat of rays and skates",2021,09,"Kilogram",?,"?",
03045900,"Other fresh or chilled meat of fish",2021,09,"Kilogram",?,"?",
03046100,"Frozen fillets of tilapias",2021,09,"Kilogram",?,"?",
03046211,"Frozen fillets of channel catfish",2021,09,"Kilogram",?,"?",
03046219,"Frozen fillets of other Ictalurus",2021,09,"Kilogram",?,"?",
03046290,"Frozen fillets of other catfish",2021,09,"Kilogram",?,"?",
03046300,"Frozen fillets of Nile perch",2021,09,"Kilogram",?,"?",
03046900,"Frozen fillets of carp/eels/snakeheads",2021,09,"Kilogram",?,"?",
03047100,"Frozen fillets of cod",2021,09,"Kilogram",?,"?",
03047200,"Frozen fillets of haddock",2021,09,"Kilogram",?,"?",
03047300,"Frozen fillets of coalfish",2021,09,"Kilogram",?,"?",
03047400,"Frozen fillets of Hake",2021,09,"Kilogram",?,"?",
03047500,"Frozen fillets of Alaska pollack",2021,09,"Kilogram",?,"?",
03047900,"Frozen fillets of fish of the families Bregmacerotidae and Euclichthyidae etc.",2021,09,"Kilogram",?,"?",
03048100,"Frozen fillets of Pacific/Atlantic/Danude salmon",2021,09,"Kilogram",?,"?",
03048200,"Frozen fillets of trout",2021,09,"Kilogram",?,"?",
03048300,"Frozen fillets of flat fish",2021,09,"Kilogram",?,"?",
03048400,"Frozen fillets of swordfish",2021,09,"Kilogram",?,"?",
03048500,"Frozen fillets of toothfish",2021,09,"Kilogram",?,"?",
03048600,"Frozen fillets of herrings",2021,09,"Kilogram",?,"?",
03048700,"Frozen fillets of tunas, skipjack or stripe-bellied bonito",2021,09,"Kilogram",?,"?",
03048800,"Frozen fillets of dogfish, other sharks, rays and skates",2021,09,"Kilogram",?,"?",
03048900,"Frozen fillets of other fish",2021,09,"Kilogram",?,"?",
03049100,"Frozen meat of swordfish",2021,09,"Kilogram",?,"?",
03049200,"Frozen meat of toothfish",2021,09,"Kilogram",?,"?",
03049300,"Frozen meat of tilapias, catfish , carp, eels, Nile perch and snakeheads",2021,09,"Kilogram",?,"?",
03049400,"Frozen meat of Alaska pollack",2021,09,"Kilogram",?,"?",
03049500,"Frozen meat of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae etc, other than Alaska Pollack",2021,09,"Kilogram",?,"?",
03049600,"Frozen meat of dogfish and other sharks",2021,09,"Kilogram",?,"?",
03049700,"Frozen meat of rays and skates",2021,09,"Kilogram",?,"?",
03049900,"Frozen meat of other fish",2021,09,"Kilogram",?,"?",
03051000,"Flours, meals&pellets of fish, fit for human consumption",2021,09,"Kilogram",?,"?",
03052000,"Dried/smoked/salted fish livers,roes and milt",2021,09,"Kilogram",?,"?",
03053100,"Dried/salted fillets of tilapias, catfish , carp, eels, Nile perch and snakeheads",2021,09,"Kilogram",?,"?",
